category,description,severity,latitude,longitude,timestamp,zone
Comportamiento sospechoso,Un ladrón hicieron ruido a un ciudadano en zona residencial,bajo,4.8951559,-74.0639061,2026-05-03T08:44:39.854975,
Vandalismo,Dos sujetos merodeaban a un estudiante en vía pública,bajo,4.8795697,-74.0433843,2026-05-16T11:44:39.858723,
Otro,Un ladrón parecían sospechosos a un ciudadano en zona residencial,bajo,4.8733286,-74.071861,2026-05-01T12:44:39.862249,
Comportamiento sospechoso,Un grupo de personas parecían sospechosos a varias personas cerca del parque,bajo,4.896962409518903,-74.06187713079473,2026-05-07T15:44:39.864765,Fagua
Vandalismo,Un ladrón hicieron ruido a varias personas cerca del parque,bajo,4.8376128,-74.0597532,2026-04-22T07:44:39.867778,
Hurto,Un grupo de personas merodeaban a varias personas cerca del parque,bajo,4.861118758164813,-74.0557387760012,2026-05-10T09:44:39.869777,Casco urbano de Chía
Otro,Un hombre parecían sospechosos a un ciudadano en zona residencial,bajo,4.8634708,-74.0766704,2026-05-12T09:44:39.871777,
Vandalismo,Un grupo de personas merodeaban a una mujer frente a un comercio,bajo,4.8951559,-74.0639061,2026-04-25T13:44:39.875778,
Otro,Un hombre merodeaban a un estudiante frente a un comercio,bajo,4.8504598,-74.0792694,2026-04-25T11:44:39.878782,
Otro,Dos sujetos merodeaban a varias personas frente a un comercio,bajo,4.8634708,-74.0766704,2026-05-22T03:44:39.880782,
Comportamiento sospechoso,Un ladrón hicieron ruido a un ciudadano en vía pública,bajo,4.866909939013102,-73.99021260674715,2026-05-10T11:44:39.883781,Chía
Hurto,Un grupo de personas hicieron ruido a varias personas en vía pública,bajo,4.8816198,-74.0717415,2026-05-21T20:44:39.886781,
Otro,Un hombre hicieron ruido a una mujer en vía pública,bajo,4.8376128,-74.0597532,2026-05-13T18:44:39.889789,
Hurto,Un hombre parecían sospechosos a un ciudadano frente a un comercio,bajo,4.843845826316359,-74.08121660777937,2026-05-20T03:44:39.891839,Cerca de Piedra
Hurto,Un ladrón hicieron ruido a un ciudadano en zona residencial,bajo,4.8733286,-74.071861,2026-05-02T01:44:39.895069,
Comportamiento sospechoso,Un grupo de personas parecían sospechosos a un estudiante en vía pública,bajo,4.8660334,-74.0306281,2026-05-06T07:44:39.898327,
Otro,Un tipo hicieron ruido a un ciudadano frente a un comercio,bajo,4.841841068539693,-74.0783754398764,2026-05-09T19:44:39.901329,Cerca de Piedra
Otro,Un grupo de personas parecían sospechosos a un ciudadano cerca del parque,bajo,4.874395,-74.0044445,2026-04-25T02:44:39.904325,
Hurto,Dos sujetos hicieron ruido a una mujer frente a un comercio,bajo,4.870839367919921,-73.99033133357833,2026-05-21T06:44:39.906543,Chía
Comportamiento sospechoso,Un ladrón hicieron ruido a varias personas en zona residencial,bajo,4.866594282734014,-73.99284011469257,2026-05-06T05:44:39.910535,Yerbabuena
Comportamiento sospechoso,Dos sujetos parecían sospechosos a un estudiante frente a un comercio,bajo,4.847002304338197,-74.0217665451556,2026-05-10T23:44:39.914536,Fusca
Vandalismo,Un ladrón hicieron ruido a varias personas cerca del parque,bajo,4.851511962501943,-74.08925824870965,2026-04-30T01:44:39.917537,Fonquetá
Comportamiento sospechoso,Dos sujetos parecían sospechosos a una mujer cerca del parque,bajo,4.825619680707008,-74.01322287049028,2026-05-02T23:44:39.920535,Fusca
Comportamiento sospechoso,Un tipo parecían sospechosos a un estudiante frente a un comercio,bajo,4.8733286,-74.071861,2026-05-04T16:44:39.922593,
Comportamiento sospechoso,Un hombre hicieron ruido a una mujer cerca del parque,bajo,4.88763295068858,-73.99181637007838,2026-05-17T19:44:39.925840,Yerbabuena
Comportamiento sospechoso,Un tipo hicieron ruido a varias personas en zona residencial,bajo,4.882424191107192,-74.07606731756975,2026-05-09T00:44:39.929841,Tiquiza
Comportamiento sospechoso,Un hombre parecían sospechosos a un estudiante cerca del parque,bajo,4.8634708,-74.0766704,2026-05-13T07:44:39.931838,
Hurto,Un tipo parecían sospechosos a un estudiante en zona residencial,bajo,4.880297879300678,-74.04908588392358,2026-05-03T16:44:39.934840,Bojacá
Otro,Un hombre hicieron ruido a una mujer en vía pública,bajo,4.8504598,-74.0792694,2026-04-23T12:44:39.936840,
Otro,Un ladrón merodeaban a una mujer frente a un comercio,bajo,4.8504598,-74.0792694,2026-05-16T02:44:39.938838,
Vandalismo,Un grupo de personas merodeaban a varias personas cerca del parque,bajo,4.8660334,-74.0306281,2026-05-13T02:44:39.941840,
Hurto,Un ladrón merodeaban a un ciudadano frente a un comercio,bajo,42.5206948,0.465951,2026-05-09T18:44:39.943838,
Hurto,Un ladrón hicieron ruido a un estudiante en zona residencial,bajo,4.8733286,-74.071861,2026-05-08T01:44:39.944839,
Hurto,Un hombre parecían sospechosos a un estudiante cerca del parque,bajo,4.857756899961559,-74.01657016570493,2026-04-28T17:44:39.947134,Fusca
Vandalismo,Un grupo de personas parecían sospechosos a varias personas en zona residencial,bajo,4.852105083218315,-74.00056521801562,2026-05-11T08:44:39.949166,Yerbabuena
Comportamiento sospechoso,Un hombre merodeaban a una mujer frente a un comercio,bajo,4.881620700827251,-74.02421816561808,2026-05-13T06:44:39.952841,Yerbabuena
Comportamiento sospechoso,Un grupo de personas hicieron ruido a una mujer en vía pública,bajo,4.8612776,-74.0601998,2026-05-13T19:44:39.955837,
Comportamiento sospechoso,Un hombre parecían sospechosos a un estudiante en zona residencial,bajo,42.5206948,0.465951,2026-05-15T04:44:39.958839,
Comportamiento sospechoso,Un ladrón parecían sospechosos a varias personas en vía pública,bajo,4.856428226183382,-74.0513283210058,2026-05-12T15:44:39.960842,Casco urbano de Chía
Vandalismo,Un hombre hicieron ruido a un ciudadano en vía pública,bajo,4.884870060441705,-74.04982057160952,2026-05-18T09:44:39.964305,Bojacá
Comportamiento sospechoso,Dos sujetos hicieron ruido a varias personas en vía pública,bajo,4.859235331727258,-74.02225283968308,2026-04-27T04:44:39.968305,Fusca
Hurto,Un ladrón hicieron ruido a un ciudadano en zona residencial,bajo,4.8612776,-74.0601998,2026-05-17T10:44:39.972311,
Comportamiento sospechoso,Un grupo de personas hicieron ruido a un estudiante en zona residencial,bajo,42.5206948,0.465951,2026-04-29T08:44:39.975308,
Vandalismo,Dos sujetos hicieron ruido a varias personas en vía pública,bajo,4.874395,-74.0044445,2026-04-30T17:44:39.977308,
Otro,Un tipo parecían sospechosos a varias personas en zona residencial,bajo,4.8660334,-74.0306281,2026-04-26T06:44:39.979308,
Hurto,Dos sujetos merodeaban a un ciudadano en vía pública,bajo,4.879350422814766,-74.04080755361818,2026-04-24T06:44:39.983309,Casco urbano de Calahorra
Vandalismo,Dos sujetos parecían sospechosos a varias personas en vía pública,bajo,4.8772156229070465,-74.05392648741882,2026-04-26T13:44:39.985309,Bojacá
Comportamiento sospechoso,Un hombre merodeaban a un estudiante cerca del parque,bajo,4.83428536843238,-74.00852033406204,2026-05-03T02:44:39.989308,Yerbabuena
Vandalismo,Un ladrón parecían sospechosos a una mujer en vía pública,bajo,4.8660334,-74.0306281,2026-04-27T15:44:39.992309,
Comportamiento sospechoso,Un grupo de personas merodeaban a un estudiante cerca del parque,bajo,4.8816198,-74.0717415,2026-04-26T18:44:39.994305,
Comportamiento sospechoso,Dos sujetos parecían sospechosos a varias personas en vía pública,bajo,4.889445139843088,-74.04883036380454,2026-04-28T22:44:39.996307,Bojacá
Vandalismo,Un tipo hicieron ruido a una mujer frente a un comercio,bajo,4.8496798279611335,-74.0835659534779,2026-05-22T02:44:39.998649,Cerca de Piedra
Otro,Un ladrón hicieron ruido a una mujer cerca del parque,bajo,4.88114676526897,-74.02745097693852,2026-05-06T07:44:40.000647,Chía
Otro,Un ladrón hicieron ruido a un estudiante en zona residencial,bajo,4.8951559,-74.0639061,2026-04-27T03:44:40.003645,
Otro,Un grupo de personas parecían sospechosos a un ciudadano cerca del parque,bajo,4.8951559,-74.0639061,2026-05-17T15:44:40.005858,
Comportamiento sospechoso,Un hombre merodeaban a un estudiante frente a un comercio,bajo,4.848749234221578,-74.07531568746978,2026-05-05T04:44:40.008860,Cerca de Piedra
Otro,Un tipo hicieron ruido a un estudiante cerca del parque,bajo,4.8816198,-74.0717415,2026-05-03T22:44:40.010855,
Hurto,Un tipo hicieron ruido a varias personas en vía pública,bajo,4.831311462132815,-74.02036233815758,2026-04-24T09:44:40.013856,Fusca
Vandalismo,Un ladrón hicieron ruido a un ciudadano cerca del parque,bajo,4.909296903805484,-74.00512232810924,2026-05-17T16:44:40.016854,Yerbabuena
Hurto,Un ladrón hicieron ruido a una mujer en zona residencial,bajo,4.85894897465851,-74.02920618628262,2026-05-01T22:44:40.019855,Fusca
Otro,Un grupo de personas merodeaban a una mujer frente a un comercio,bajo,4.8795697,-74.0433843,2026-05-04T19:44:40.022855,
Comportamiento sospechoso,Un grupo de personas parecían sospechosos a varias personas frente a un comercio,bajo,4.837415680159636,-74.04749316335041,2026-05-15T22:44:40.025377,La Balsa
Comportamiento sospechoso,Un tipo hicieron ruido a un ciudadano frente a un comercio,bajo,4.869481079422013,-74.08018330817643,2026-05-20T21:44:40.027534,Fonquetá
Vandalismo,Un tipo hicieron ruido a un estudiante cerca del parque,bajo,4.8612776,-74.0601998,2026-05-03T02:44:40.030424,
Vandalismo,Un tipo merodeaban a un ciudadano en zona residencial,bajo,4.8612776,-74.0601998,2026-05-14T15:44:40.032422,
Vandalismo,Dos sujetos merodeaban a un estudiante frente a un comercio,bajo,4.8376128,-74.0597532,2026-05-14T10:44:40.034428,
Hurto,Un hombre hicieron ruido a varias personas frente a un comercio,bajo,4.8660334,-74.0306281,2026-04-24T09:44:40.037426,
Otro,Un tipo merodeaban a varias personas cerca del parque,bajo,4.874395,-74.0044445,2026-05-09T22:44:40.040426,
Comportamiento sospechoso,Un hombre hicieron ruido a un ciudadano cerca del parque,bajo,4.8816198,-74.0717415,2026-05-05T14:44:40.042918,
Vandalismo,Un ladrón parecían sospechosos a varias personas en zona residencial,bajo,4.861941314325037,-74.06385557870271,2026-04-24T05:44:40.045986,Casco urbano de Chía
Hurto,Un grupo de personas merodeaban a una mujer en zona residencial,bajo,4.89606344165305,-73.99118454241228,2026-05-14T18:44:40.047982,Chía
Comportamiento sospechoso,Dos sujetos hicieron ruido a un ciudadano en zona residencial,bajo,4.8660334,-74.0306281,2026-05-19T17:44:40.049985,
Comportamiento sospechoso,Un tipo merodeaban a una mujer en vía pública,bajo,4.860762729167162,-74.07313882300802,2026-05-20T00:44:40.052976,Fonquetá
Comportamiento sospechoso,Dos sujetos hicieron ruido a un estudiante en zona residencial,bajo,4.8660334,-74.0306281,2026-04-30T12:44:40.054977,
Comportamiento sospechoso,Dos sujetos hicieron ruido a varias personas cerca del parque,bajo,4.8795697,-74.0433843,2026-05-11T05:44:40.057979,
Vandalismo,Dos sujetos merodeaban a un ciudadano frente a un comercio,bajo,4.8781865272527405,-74.04118852747968,2026-05-15T15:44:40.061980,Casco urbano de Calahorra
Hurto,Un tipo hicieron ruido a un ciudadano en vía pública,bajo,4.837099819170642,-74.07391436131046,2026-05-11T10:44:40.064696,La Balsa
Vandalismo,Un ladrón merodeaban a una mujer cerca del parque,bajo,4.853714944006445,-74.02400387799752,2026-05-18T05:44:40.067701,Fusca
Hurto,Un hombre merodeaban a un estudiante en vía pública,bajo,4.8419477,-74.0227978,2026-05-10T20:44:40.070693,
Vandalismo,Dos sujetos merodeaban a una mujer en vía pública,bajo,4.8376128,-74.0597532,2026-05-10T07:44:40.073695,
Hurto,Un ladrón hicieron ruido a un estudiante en vía pública,bajo,4.858422395358918,-74.05927506425643,2026-05-11T05:44:40.075695,Casco urbano de Chía
Otro,Un tipo merodeaban a varias personas cerca del parque,bajo,4.882825661536774,-74.05346552611105,2026-05-19T18:44:40.079819,Bojacá
Otro,Dos sujetos parecían sospechosos a un ciudadano frente a un comercio,bajo,4.842151691241543,-74.04131116515364,2026-05-04T21:44:40.083277,La Balsa
Vandalismo,Dos sujetos merodeaban a varias personas en vía pública,bajo,4.8795697,-74.0433843,2026-05-20T23:44:40.086280,
Comportamiento sospechoso,Un grupo de personas merodeaban a un ciudadano cerca del parque,bajo,4.8504598,-74.0792694,2026-05-18T18:44:40.088279,
Comportamiento sospechoso,Un hombre parecían sospechosos a una mujer cerca del parque,bajo,4.8816198,-74.0717415,2026-04-29T21:44:40.090279,
Comportamiento sospechoso,Un grupo de personas hicieron ruido a una mujer cerca del parque,bajo,4.891567535184346,-74.07607343428174,2026-04-30T09:44:40.093283,Tiquiza
Vandalismo,Un hombre hicieron ruido a una mujer frente a un comercio,bajo,4.837282761706909,-74.04811915202447,2026-05-11T05:44:40.095278,La Balsa
Comportamiento sospechoso,Un tipo hicieron ruido a un ciudadano frente a un comercio,bajo,4.874395,-74.0044445,2026-05-18T10:44:40.098279,
Vandalismo,Un hombre parecían sospechosos a una mujer cerca del parque,bajo,4.8660334,-74.0306281,2026-05-02T13:44:40.101280,
Otro,Un tipo merodeaban a un estudiante cerca del parque,bajo,4.8951559,-74.0639061,2026-05-13T17:44:40.104279,
Vandalismo,Un hombre merodeaban a un estudiante en vía pública,bajo,4.8235362303933815,-74.0149034505809,2026-05-19T03:44:40.106284,Fusca
Hurto,Un hombre hicieron ruido a una mujer frente a un comercio,bajo,4.8612776,-74.0601998,2026-04-28T00:44:40.109279,
Hurto,Un grupo de personas merodeaban a varias personas en vía pública,bajo,42.5206948,0.465951,2026-04-24T02:44:40.112278,
Vandalismo,Un grupo de personas hicieron ruido a un estudiante en vía pública,bajo,42.5206948,0.465951,2026-05-11T16:44:40.114698,
Otro,Un tipo merodeaban a una mujer frente a un comercio,bajo,4.8795697,-74.0433843,2026-05-19T10:44:40.118698,
Vandalismo,Un grupo de personas hicieron ruido a una mujer frente a un comercio,bajo,4.8951559,-74.0639061,2026-04-30T00:44:40.119697,
Vandalismo,Un grupo de personas hicieron ruido a varias personas en vía pública,bajo,4.8733286,-74.071861,2026-04-27T19:44:40.122455,
Hurto,Un ladrón merodeaban a un estudiante cerca del parque,bajo,42.5206948,0.465951,2026-05-13T11:44:40.126250,
Hurto,Un tipo parecían sospechosos a una mujer en vía pública,bajo,4.8634708,-74.0766704,2026-04-28T23:44:40.127241,
Otro,Un ladrón hicieron ruido a un estudiante en vía pública,bajo,4.8634708,-74.0766704,2026-05-13T23:44:40.129530,
Vandalismo,Dos sujetos merodeaban a un ciudadano en zona residencial,bajo,4.8733286,-74.071861,2026-05-13T06:44:40.131532,
Otro,Un hombre hicieron ruido a varias personas frente a un comercio,bajo,4.852994923645401,-74.07922813051924,2026-04-30T01:44:40.133909,Cerca de Piedra
Otro,Un hombre parecían sospechosos a un estudiante cerca del parque,bajo,4.8634708,-74.0766704,2026-05-07T05:44:40.135909,
